Date,Open,High,Low,Close,Volume
12/13/2022,98.07,99.8,95.38,95.85,"34,788,520"
12/12/2022,93.09,93.87,91.9,93.56,"27,380,949"
12/9/2022,93.9,94.49,93.02,93.07,"21,885,311"
12/8/2022,95.69,95.87,93.8,93.95,"25,593,230"
12/7/2022,96.77,97.31,95.03,95.15,"26,647,881"
12/6/2022,99.67,100.21,96.76,97.31,"20,877,619"
12/5/2022,99.82,101.75,99.36,99.87,"19,955,551"
12/2/2022,99.37,101.15,99.17,100.83,"18,821,529"
12/1/2022,101.4,102.59,100.67,101.28,"21,771,539"
11/30/2022,95.12,101.45,94.67,101.45,"39,888,070"
11/29/2022,96,96.39,94.39,95.44,"20,220,010"
11/28/2022,97.2,97.83,95.89,96.25,"19,981,971"
11/25/2022,98.47,98.94,97.53,97.6,"8,567,819"
11/23/2022,97.34,99.07,97.34,98.82,"17,568,859"
11/22/2022,96.16,97.55,94.41,97.33,"18,868,850"
11/21/2022,97.56,98.72,95.67,95.83,"18,696,869"
11/18/2022,99.01,99.16,96.74,97.8,"24,969,881"
11/17/2022,97.18,99.48,97.1,98.5,"21,818,730"
11/16/2022,98.02,99.85,97.9,98.99,"24,660,199"
11/15/2022,98.67,100.42,97.02,98.72,"31,830,971"
11/14/2022,95.5,97.18,95.11,96.03,"24,170,080"
11/11/2022,94.71,97.36,94.16,96.73,"30,569,109"
11/10/2022,92.34,94.55,91.65,94.17,"42,371,219"
11/9/2022,88.55,89.49,87.36,87.4,"26,743,881"
11/8/2022,89.16,90.41,87.65,88.91,"30,172,000"
11/7/2022,87.34,88.94,86.96,88.65,"26,899,881"
11/4/2022,85.51,86.73,83.88,86.7,"40,173,281"
11/3/2022,86.35,86.55,83.45,83.49,"48,510,359"
11/2/2022,90.91,91.3,87.01,87.07,"43,553,551"
11/1/2022,95.59,96.17,90.43,90.5,"43,220,602"
10/31/2022,95.78,96.35,94.38,94.66,"29,868,711"
10/28/2022,92.53,96.86,92.32,96.58,"35,696,930"
10/27/2022,94.31,95.17,91.9,92.6,"54,036,488"
10/26/2022,96.76,98.54,94.57,94.82,"71,671,805"
10/25/2022,103.3,105.1,103.02,104.93,"29,910,170"
10/24/2022,102.09,103.1,100.3,102.97,"24,680,830"
10/21/2022,98.46,101.62,98.23,101.48,"28,988,730"
10/20/2022,100.82,103,99.97,100.53,"25,125,080"
10/19/2022,100.7,101.66,99.64,100.29,"21,573,689"
10/18/2022,103.94,104.22,100.65,101.39,"21,610,539"
10/17/2022,99.52,101.77,99.51,100.78,"23,311,600"
10/14/2022,100.63,101.29,97.03,97.18,"22,624,830"
10/13/2022,95.93,100.53,95.27,99.71,"32,812,219"
10/12/2022,98.27,99.65,97.67,98.3,"17,343,430"
10/11/2022,98.25,100.12,97.25,98.05,"21,617,730"
10/10/2022,99.85,99.99,97.87,98.71,"16,529,900"
10/7/2022,100.65,101.42,99.21,99.57,"24,249,910"
10/6/2022,101.5,103.73,101.5,102.24,"17,156,240"
10/5/2022,100.69,102.74,99.74,102.22,"18,475,520"
10/4/2022,101.04,102.72,101.04,102.41,"22,580,930"
10/3/2022,97.22,99.97,97.02,99.3,"24,840,029"
